backend,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
scalar,standard,padded,1024,6,16384,50997628,313.740082
scalar,standard,padded,1024,7,16384,50931574,314.146977
scalar,standard,padded,1024,8,16384,50886879,314.422899
scalar,standard,padded,1024,9,16384,51037543,313.494715
scalar,standard,padded,1024,10,16384,51160054,312.744001
scalar,standard,padded,1024,11,16384,50996766,313.745385
scalar,standard,padded,1024,12,16384,51144395,312.839755
scalar,standard,padded,1024,13,16384,51163601,312.722320
scalar,standard,padded,1024,14,16384,51209066,312.444675
ssse3-sse4.1,standard,padded,1024,0,16384,20520784,779.697306
ssse3-sse4.1,standard,padded,1024,1,16384,20464368,781.846769
ssse3-sse4.1,standard,padded,1024,2,16384,20497511,780.582579
ssse3-sse4.1,standard,padded,1024,3,16384,20490127,780.863877
ssse3-sse4.1,standard,padded,1024,4,16384,20508741,780.155154
ssse3-sse4.1,standard,padded,1024,5,16384,20518360,779.789418
ssse3-sse4.1,standard,padded,1024,6,16384,20443399,782.648717
ssse3-sse4.1,standard,padded,1024,7,16384,20455361,782.191035
ssse3-sse4.1,standard,padded,1024,8,16384,20477683,781.338397
ssse3-sse4.1,standard,padded,1024,9,16384,20454019,782.242355
ssse3-sse4.1,standard,padded,1024,10,16384,20487812,780.952109
ssse3-sse4.1,standard,padded,1024,11,16384,20550180,778.581988
ssse3-sse4.1,standard,padded,1024,12,16384,20560028,778.209057
ssse3-sse4.1,standard,padded,1024,13,16384,20502249,780.402189
ssse3-sse4.1,standard,padded,1024,14,16384,20531464,779.291725
avx2,standard,padded,1024,0,16384,19770462,809.288119
avx2,standard,padded,1024,1,16384,19746106,810.286342
avx2,standard,padded,1024,2,16384,19686705,812.731232
avx2,standard,padded,1024,3,16384,19716019,811.522854
avx2,standard,padded,1024,4,16384,19764411,809.535888
avx2,standard,padded,1024,5,16384,19768909,809.351695
